datetime,opt50Code,opt300Code,share50,share300,inOpt50Price,outOpt50Price,inOpt300Price,outOpt300Price,profit50,profit300,profit total
2020-08-13,OP10002593,OP10002632,-11649.569702665796,-10000,0.05719999969005585,0.12639999389648438,0.10999999940395355,0.00039999998989515007,-806.1501559318584,1095.999994140584,-223.85655072556432
2020-08-14,OP10002593,OP10002632,-11649.569702665796,-10000,0.08550000190734863,0.08550000190734863,0.0568000003695488,0.0568000003695488,-0.0,-0.0,202.31714192809864
2020-08-17,OP10002593,OP10002632,-11649.569702665796,-10000,0.14059999585151672,0.14059999585151672,0.026499999687075615,0.026499999687075615,-0.0,-0.0,-338.89121324431767
2020-08-18,OP10002593,OP10002632,-3711.489441035472,-10000,0.131400004029274,0.131400004029274,0.02199999988079071,0.02199999988079071,-0.0,-0.0,152.17594406002112
2020-08-19,OP10002593,OP10002632,-3711.489441035472,-10000,0.07729999721050262,0.07729999721050262,0.03139999881386757,0.03139999881386757,-0.0,-0.0,106.79161473704835
2020-08-20,OP10002593,OP10002632,-3711.489441035472,-10000,0.04670000076293945,0.04670000076293945,0.03889999911189079,0.03889999911189079,-0.0,-0.0,38.571560730621414
2020-08-21,OP10002593,OP10002632,-9773.303362688386,-10000,0.0560000017285347,0.0560000017285347,0.0210999995470047,0.0210999995470047,-0.0,-0.0,143.48314026343448
2020-08-24,OP10002593,OP10002632,-5616.685590250304,-10000,0.05310000106692314,0.05310000106692314,0.006399999838322401,0.006399999838322401,-0.0,-0.0,175.34258330474975
2020-08-25,OP10002593,OP10002632,-2487.961752941636,-10000,0.05999999865889549,0.05999999865889549,0.002199999988079071,0.002199999988079071,-0.0,-0.0,3.244881454840403
2020-08-14,OP10002593,OP10002648,-8636.865268052117,-10000,0.08550000190734863,0.05999999865889549,0.10320000350475311,0.002199999988079071,220.2400923917811,1010.0000351667404,-192.70518687165892
2020-08-17,OP10002593,OP10002648,-8636.865268052117,-10000,0.14059999585151672,0.14059999585151672,0.0560000017285347,0.0560000017285347,-0.0,-0.0,-3.8912062040832325
2020-08-18,OP10002593,OP10002648,-8636.865268052117,-10000,0.131400004029274,0.131400004029274,0.049800001084804535,0.049800001084804535,-0.0,-0.0,141.45909627319344
2020-08-19,OP10002593,OP10002648,-8636.865268052117,-10000,0.07729999721050262,0.07729999721050262,0.07029999792575836,0.07029999792575836,-0.0,-0.0,262.2545014848908
2020-08-20,OP10002593,OP10002648,-8636.865268052117,-10000,0.04670000076293945,0.04670000076293945,0.0835999995470047,0.0835999995470047,-0.0,-0.0,131.28803030801316
2020-08-21,OP10002593,OP10002648,-17292.58871096879,-10000,0.0560000017285347,0.0560000017285347,0.059300001710653305,0.059300001710653305,-0.0,-0.0,162.6771230309132
2020-08-24,OP10002593,OP10002648,-17292.58871096879,-10000,0.05310000106692314,0.05310000106692314,0.03449999913573265,0.03449999913573265,-0.0,-0.0,298.14854445199256
2020-08-25,OP10002593,OP10002648,-8889.703261487752,-10000,0.05999999865889549,0.05999999865889549,0.017999999225139618,0.017999999225139618,-0.0,-0.0,45.68117864127741
2020-08-17,OP10002625,OP10002664,-9392.30932422846,-10000,0.07339999824762344,0.05999999865889549,0.10350000113248825,0.017999999225139618,125.85694108186706,855.0000190734863,-200.51647841252228
2020-08-18,OP10002625,OP10002664,-9392.30932422846,-10000,0.06379999965429306,0.06379999965429306,0.09809999912977219,0.09809999912977219,-0.0,-0.0,144.16617632787768
2020-08-19,OP10002625,OP10002664,-9392.30932422846,-10000,0.02759999968111515,0.02759999968111515,0.13339999318122864,0.13339999318122864,-0.0,-0.0,-12.998343229415639
2020-08-20,OP10002625,OP10002664,-30268.119691943826,-10000,0.013500000350177288,0.013500000350177288,0.16850000619888306,0.16850000619888306,-0.0,-0.0,-218.56857498896147
2020-08-21,OP10002625,OP10002664,-30268.119691943826,-10000,0.013700000010430813,0.013700000010430813,0.13109999895095825,0.13109999895095825,-0.0,-0.0,367.9464588243463
2020-08-24,OP10002625,OP10002664,-30268.119691943826,-10000,0.007300000172108412,0.007300000172108412,0.1005999967455864,0.1005999967455864,-0.0,-0.0,498.71598318848214
2020-08-25,OP10002625,OP10002664,-30268.119691943826,-10000,0.0052999998442828655,0.0052999998442828655,0.08290000259876251,0.08290000259876251,-0.0,-0.0,237.53619077478936
2020-08-18,OP10002625,OP10002664,-9906.23813945889,-10000,0.06379999965429306,0.0052999998442828655,0.09809999912977219,0.08290000259876251,579.5149292762608,151.99996531009674,-205.83050236200492
2020-08-19,OP10002625,OP10002664,-9906.23813945889,-10000,0.02759999968111515,0.02759999968111515,0.13339999318122864,0.13339999318122864,-0.0,-0.0,5.605879868141301
2020-08-20,OP10002625,OP10002664,-30268.119691943826,-10000,0.013500000350177288,0.013500000350177288,0.16850000619888306,0.16850000619888306,-0.0,-0.0,-211.3221790380627
2020-08-21,OP10002625,OP10002664,-30268.119691943826,-10000,0.013700000010430813,0.013700000010430813,0.13109999895095825,0.13109999895095825,-0.0,-0.0,367.9464588243463
2020-08-24,OP10002625,OP10002664,-30268.119691943826,-10000,0.007300000172108412,0.007300000172108412,0.1005999967455864,0.1005999967455864,-0.0,-0.0,498.71598318848214
2020-08-25,OP10002625,OP10002664,-30268.119691943826,-10000,0.0052999998442828655,0.0052999998442828655,0.08290000259876251,0.08290000259876251,-0.0,-0.0,237.53619077478936
2020-08-27,OP10002238,OP10002650,-8829.18784708584,-10000,0.10970000177621841,0.0052999998442828655,0.14239999651908875,0.08290000259876251,921.7672282931835,594.9999392032623,-194.69380233886758
2020-08-28,OP10002238,OP10002650,-8829.18784708584,-10000,0.16269999742507935,0.16269999742507935,0.0860000029206276,0.0860000029206276,-0.0,-0.0,96.05301850608623
2020-08-31,OP10002238,OP10002650,-8829.18784708584,-10000,0.13109999895095825,0.13109999895095825,0.10289999842643738,0.10289999842643738,-0.0,-0.0,110.00236743754317
2020-09-01,OP10002238,OP10002650,-8829.18784708584,-10000,0.14419999718666077,0.14419999718666077,0.08009999990463257,0.08009999990463257,-0.0,-0.0,112.33763999853753
2020-09-02,OP10002238,OP10002650,-8829.18784708584,-10000,0.13500000536441803,0.13500000536441803,0.08720000088214874,0.08720000088214874,-0.0,-0.0,10.228446215072935
2020-09-03,OP10002238,OP10002650,-8829.18784708584,-10000,0.12729999423027039,0.12729999423027039,0.09239999949932098,0.09239999949932098,-0.0,-0.0,15.984858556319622
2020-09-04,OP10002238,OP10002650,-8829.18784708584,-10000,0.10610000044107437,0.10610000044107437,0.10400000214576721,0.10400000214576721,-0.0,-0.0,71.17870105740244
2020-09-07,OP10002238,OP10002650,-8829.18784708584,-10000,0.0674000009894371,0.0674000009894371,0.15330000221729279,0.15330000221729279,-0.0,-0.0,-151.3104358746313
2020-09-08,OP10002238,OP10002650,-18742.84048413293,-10000,0.08780000358819962,0.08780000358819962,0.12720000743865967,0.12720000743865967,-0.0,-0.0,80.88449276081766
2020-09-09,OP10002238,OP10002650,-18742.84048413293,-10000,0.05950000137090683,0.05950000137090683,0.19499999284744263,0.19499999284744263,-0.0,-0.0,-147.57742682850278
2020-09-10,OP10002238,OP10002650,-18742.84048413293,-10000,0.05829999968409538,0.05829999968409538,0.19040000438690186,0.19040000438690186,-0.0,-0.0,68.49132480200511
2020-09-11,OP10002238,OP10002650,-18742.84048413293,-10000,0.058800000697374344,0.058800000697374344,0.1500999927520752,0.1500999927520752,-0.0,-0.0,393.6286771144742
2020-09-14,OP10002238,OP10002650,-18742.84048413293,-10000,0.06639999896287918,0.06639999896287918,0.11699999868869781,0.11699999868869781,-0.0,-0.0,188.55438546372972
